,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL47882,C=CCNC(=S)Nc1ccc(-c2nnc(SCc3ccc(Cl)cc3Cl)n2C)cc1,active,464.44700000000023,5.553600000000004,2.0,5.0,8.0
1,CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,active,822.9530000000003,4.335420000000004,6.0,15.0,6.8326826652518236
2,CHEMBL175244,CCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OC(C)(C)C,active,406.59600000000023,5.400800000000006,0.0,7.0,8.0
3,CHEMBL177834,CCCCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OCC,active,406.59600000000023,5.402400000000005,0.0,7.0,8.0
4,CHEMBL369695,CCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OCC,active,378.5420000000002,4.622200000000004,0.0,7.0,7.204119982655925
5,CHEMBL196076,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3ccc(F)cc3)CC2)c1O,inactive,447.51400000000024,3.402500000000003,2.0,6.0,4.854803593885818
6,CHEMBL64,NNC(=O)c1ccncc1,inactive,137.142,-0.3149000000000006,2.0,3.0,4.341320971417551
7,CHEMBL382508,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(C)C)c1O,inactive,312.37300000000005,2.0028,2.0,5.0,4.698970004336019
8,CHEMBL371672,CCN(CC)Cc1cccc(/C(C)=N\NC(=O)c2ccncc2)c1O,inactive,340.427,2.783000000000001,2.0,5.0,4.7363639314118915
9,CHEMBL198453,CCCCN(CCCC)Cc1cccc(/C(C)=N\NC(=O)c2ccncc2)c1O,inactive,396.5350000000001,4.343400000000004,2.0,5.0,4.802443786846464
10,CHEMBL198317,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCCCC2)c1O,inactive,352.4380000000002,2.9271000000000016,2.0,5.0,4.751291264399082
11,CHEMBL199042,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCCC2)c1O,inactive,338.4110000000002,2.5370000000000013,2.0,5.0,4.733533104559759
12,CHEMBL373203,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCOCC2)c1O,inactive,354.4100000000002,1.7734,2.0,6.0,4.7537476877006775
13,CHEMBL198433,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(c2ccccc2)c2ccccc2)c1O,inactive,436.5150000000001,5.279500000000005,2.0,5.0,4.844056982028163
14,CHEMBL198434,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCNCC2)c1O,inactive,353.42600000000016,1.3463999999999998,3.0,6.0,4.752517739322946
15,CHEMBL199044,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(C)CC2)c1O,inactive,367.4530000000002,1.6885999999999999,2.0,6.0,4.764471553092451
16,CHEMBL196824,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(Cc2ccccc2)Cc2ccccc2)c1O,inactive,464.5690000000002,5.1436000000000055,2.0,5.0,4.870954940112042
17,CHEMBL372195,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c1O,inactive,598.6350000000001,3.750500000000003,3.0,9.0,4.981299501333757
18,CHEMBL197582,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cccc(/C(C)=N\NC(=O)c5ccncc5)c4O)C(C)C3)c(F)c21,inactive,618.6410000000001,3.9631000000000034,3.0,9.0,4.995678626217358
19,CHEMBL197852,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3ccccn3)CC2)c1O,inactive,430.5120000000002,2.6584000000000017,2.0,7.0,4.838033383635925
20,CHEMBL381467,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(Cc3ccccc3)CC2)c1O,inactive,443.5510000000003,3.2590000000000026,2.0,6.0,4.851089006890644
